"TI","AB"
"PHAGE ENGINEERING USING SYNTHETIC BIOLOGY AND ARTIFICIAL INTELLIGENCE TO ENHANCE PHAGE APPLICATIONS IN FOOD INDUSTRY","THE RAPID ADVANCEMENTS IN SYNTHETIC BIOLOGY AND ARTIFICIAL INTELLIGENCE (AI) TECHNOLOGIES ARE CONTINUOUSLY EXPANDING THE APPLICATION OF BACTERIOPHAGES (PHAGES); HOWEVER, WHEN IT COMES TO THE FOOD INDUSTRY, THE DEVELOPMENT OF PHAGE APPLICATIONS HAS BEEN RELATIVELY SLOW DUE TO THE COMPLEX AND LARGE-SCALE NATURE OF THE INDUSTRY. IN ORDER TO OVERCOME THESE CHALLENGES, IT IS NECESSARY TO PROMOTE THE DEVELOPMENT OF PHAGES WITH NEW TECHNOLOGIES. HERE, WE INTRODUCE THE LATEST SYNTHETIC BIOLOGY METHODS AND AI TECHNIQUES THAT ENHANCE PHAGE FUNCTIONS AND EXPLORE THEIR POTENTIAL IN PROMOTING PHAGE APPLICATIONS IN THE FOOD INDUSTRY. ADDITIONALLY, WE DISCUSS THE POTENTIAL OF COMBINING SYNTHETIC BIOLOGY WITH AI TECHNOLOGIES TO OVERCOME THE UNIQUE CHALLENGES WHEN APPLYING PHAGES IN THE FOOD INDUSTRY IN THE FUTURE."
"AI-BASED PROCESSING OF FUTURE PREPARED FOODS: PROGRESS AND PROSPECTS","THE PREPARED FOODS SECTOR HAS GROWN RAPIDLY IN RECENT YEARS, DRIVEN BY THE FAST PACE OF MODERN LIVING AND INCREASING CONSUMER DEMAND FOR CONVENIENCE. PREPARED FOODS ARE TAKING AN INCREASINGLY IMPORTANT ROLE IN THE MODERN CATERING INDUSTRY DUE TO THEIR EASE OF STORAGE, TRANSPORTATION, AND OPERATION. HOWEVER, THEIR PROCESSING FACES SEVERAL CHALLENGES, INCLUDING LABOR SHORTAGES, INEFFICIENT SORTING, INADEQUATE CLEANING, UNSAFE CUTTING PROCESSES, AND A LACK OF INDUSTRY STANDARDS. THE DEVELOPMENT OF ARTIFICIAL INTELLIGENCE (AI) WILL CHANGE THE PROCESSING OF PREPARED FOODS. THIS REVIEW SUMMARIZES THE PROGRESS AND PROSPECTS OF AI APPLICATIONS IN THE SORTING/CLASSIFICATION, CLEANING, CUTTING, PREPROCESSING, AND FREEZING OF PREPARED FOODS, ENCOMPASSING TECHNIQUES SUCH AS MATHEMATICAL MODELING, CHEMOMETRICS, MACHINE LEARNING, FUZZY LOGIC, AND ADAPTIVE NEURO FUZZY INFERENCE SYSTEM. FOR EXAMPLE, AI-POWERED SORTING SYSTEMS USING COMPUTER VISION HAVE IMPROVED ACCURACY IN INGREDIENT CLASSIFICATION, WHILE DEEP LEARNING MODELS IN CLEANING PROCESSES HAVE ENHANCED MICROBIAL CONTAMINATION DETECTION WITH HIGH SPECTRAL IMAGING TECHNIQUES. DESPITE CHALLENGES LIKE MANAGING LARGE-SCALE DATA AND COMPLEX MODELS, AI HAS SHOWN SIGNIFICANT POTENTIAL TO INSPIRE BOTH INDUSTRY PRACTICE AND RESEARCH. AI APPLICATIONS CAN ENHANCE THE EFFICIENCY, ACCURACY, AND CONSISTENCY OF PREPARED FOODS PROCESSING, WHILE ALSO REDUCING LABOR COSTS, IMPROVING HYGIENE MONITORING, MINIMIZING RESOURCE WASTE, AND DECREASING ENVIRONMENTAL IMPACT. FURTHERMORE, AI-DRIVEN RESOURCE OPTIMIZATION HAS DEMONSTRATED ITS POTENTIAL IN REDUCING ENERGY CONSUMPTION AND PROMOTING SUSTAINABLE FOOD PRODUCTION PRACTICES. IN THE FUTURE, AI TECHNOLOGY IS EXPECTED TO FURTHER IMPROVE MODEL GENERALIZATION AND OPERATION PRECISION, DRIVING THE FOOD PROCESSING INDUSTRY TOWARD SMARTER, MORE SUSTAINABLE DEVELOPMENT. THIS STUDY PROVIDES VALUABLE INSIGHTS TO ENCOURAGE FURTHER INNOVATION IN AI APPLICATIONS WITHIN FOOD PROCESSING AND TECHNOLOGICAL ADVANCEMENT IN THE FOOD INDUSTRY."
"ADVANCES IN HIGH-RESOLUTION MASS SPECTROMETRY-BASED METABOLOMICS: APPLICATIONS IN FOOD ANALYSIS AND BIOMARKER DISCOVERY","CONSUMER CONCERNS REGARDING FOOD NUTRITION AND QUALITY ARE BECOMING INCREASINGLY PREVALENT. HIGH-RESOLUTION MASS SPECTROMETRY (HRMS)-BASED METABOLOMICS STANDS AS A CUTTING-EDGE AND WIDELY EMBRACED TECHNIQUE IN THE REALM OF FOOD COMPONENT ANALYSIS AND DETECTION. IT BOASTS THE CAPABILITY TO IDENTIFY CHARACTER METABOLITES AT EXCEEDINGLY LOW ABUNDANCES, WHICH REMAIN UNDETECTABLE BY CONVENTIONAL PLATFORMS. IT CAN ALSO ENABLE REAL-TIME MONITORING OF THE FLUX OF TARGETED COMPOUNDS IN METABOLIC SYNTHESIS AND DECOMPOSITION. WITH THE EMERGENCE OF ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING, IT HAS BECOME MORE CONVENIENT TO PROCESS THE VAST DATA SETS OF METABOLOMICS AND IDENTIFY BIOMARKERS. THE REVIEW SUMMARIZES THE LATEST APPLICATIONS OF HRMS-BASED METABOLOMICS PLATFORMS IN TRADITIONAL FOODS, NOVEL FOODS, AND PHARMACEUTICAL-FOOD HOMOLOGOUS MATRICES. IT COMPARES THE SUITABILITY OF HRMS TO NUCLEAR MAGNETIC RESONANCE (NMR) IN METABOLOMICS ACROSS THREE DIMENSIONS AND DISCUSSES THE PRINCIPLES AND APPLICATION SCENARIOS OF VARIOUS MASS SPECTROMETRY TECHNOLOGIES."
"NATURE-INSPIRED APPROACHES FOR OPTIMIZING FOOD DRYING PROCESSES: A CRITICAL REVIEW","FOOD DRYING IS A CRITICAL PROCESS IN FOOD PRESERVATION, DIRECTLY IMPACTING THE QUALITY, ENERGY CONSUMPTION, AND ENVIRONMENTAL SUSTAINABILITY OF THE FINAL PRODUCT. TRADITIONAL OPTIMIZATION TECHNIQUES, WHILE USEFUL, OFTEN FALL SHORT IN ADDRESSING THE COMPLEX, NONLINEAR, AND MULTI-OBJECTIVE NATURE OF FOOD DRYING. NATURE-INSPIRED ALGORITHMS, WHICH MIMIC BIOLOGICAL, CHEMICAL, AND PHYSICAL SYSTEMS, HAVE EMERGED AS POWERFUL TOOLS FOR OPTIMIZING THESE PROCESSES, DEMONSTRATING SUPERIOR PERFORMANCE IN HANDLING MULTIPLE PARAMETERS AND CONFLICTING OBJECTIVES. THIS REVIEW CRITICALLY EXAMINES THE APPLICATION OF VARIOUS NATURE-INSPIRED OPTIMIZATION APPROACHES IN FOOD DRYING, INCLUDING ARTIFICIAL NEURAL NETWORKS, GENETIC ALGORITHMS, PARTICLE SWARM OPTIMIZATION, AND NON-DOMINATED SORTING GENETIC ALGORITHM II. THE REVIEW HIGHLIGHTS THE THEORETICAL UNDERPINNINGS OF THESE ALGORITHMS, THEIR SPECIFIC APPLICATIONS IN FOOD DRYING, AND THE ADVANTAGES AND LIMITATIONS OF EACH METHOD. RECENT CASE STUDIES ARE ALSO DISCUSSED TO ILLUSTRATE THE PRACTICAL IMPLEMENTATION OF THESE TECHNIQUES IN IMPROVING PRODUCT QUALITY, ENERGY EFFICIENCY, AND ENVIRONMENTAL IMPACT IN FOOD PROCESSING PLANTS. THE FINDINGS HIGHLIGHT THE POTENTIAL OF INTEGRATING THESE ADVANCED OPTIMIZATION ALGORITHMS INTO COMPUTER-INTEGRATED MANUFACTURING SYSTEMS, DRIVING THE FOOD DRYING INDUSTRY TOWARD MORE SUSTAINABLE AND COST-EFFECTIVE PRACTICES. ADDITIONALLY, THE SCALABILITY OF THESE METHODS FOR INDUSTRIAL APPLICATIONS IS CRITICALLY EVALUATED, IDENTIFYING PRACTICAL BARRIERS AND SUGGESTING PATHWAYS FOR FUTURE RESEARCH. THIS COMPREHENSIVE REVIEW AIMS TO SERVE AS A VALUABLE RESOURCE FOR RESEARCHERS AND PRACTITIONERS INTERESTED IN THE LATEST DEVELOPMENTS IN FOOD DRYING OPTIMIZATION, PROVIDING INSIGHTS THAT ARE BOTH BROAD AND DEEP, SUITABLE FOR A MULTIDISCIPLINARY AUDIENCE."
"EMBOLDENING FOOD SECURITY FOR GLOBAL SUSTAINABILITY YOKING ARTIFICIAL INTELLIGENCE","FOOD SECURITY IS A FUNDAMENTAL GLOBAL CONCERN, WHERE SEVERE CONSEQUENCES MAY LEAD TOWARDS HUNGER AND MALNUTRITION. TO INTRICATE NOVEL PARADIGM-SHIFTING TACTICS CORRELATING ARTIFICIAL INTELLIGENCE AND AGRICULTURE, THE PRIMARY FOCUS SHOULD RELY ON THE PREDOMINANT REAL-LIFE IMPLEMENTATION OF AI RESEARCH MODELS ADDRESSING GLOBAL FOOD SECURITY AND SAFETY CHALLENGES. ARTIFICIAL INTELLIGENCE POSTULATES NOTEWORTHY TACTICS IMPROVING PRECISION AGRICULTURE MODELS, CROP-DISEASE MANAGEMENT, POSTHARVEST FOOD LOSS REDUCTION, SMART INVENTORY EXECUTION AND GLOBAL FOOD QUALITY ASSURANCE ROUTES. IT IS ESTIMATED THAT FUTURE IMPACT OF AI ON FOOD SAFETY AND SECURITY WILL OMINOUSLY INCREASE PROVIDING BETTER NUTRITION UTILIZING MINIMUM AGRI-RESOURCES. PRESENT STUDY UNDERLINES AI INFLUENCE IN TRANSFORMING SUSTAINABLE FUTURE BY MINIMIZING FOOD LOSS BY DEVELOPING A PREDICTIVE AND FOCUSED FOOD SECURITY FORECAST FOLLOWING ASSORTED SOCIO-ECONOMIC AND ENVIRONMENTAL DYNAMICS. THE FIELD OF AI IS PRACTICALLY VAST AND ITS IMPACT ON NUTRITIONAL SECURITY HOLDS CENTRAL POTENTIAL BRIDGING COMPREHENSIVE AWARENESS GAP FOR REVOLUTIONIZING SUSTAINABILITY AROUND THE GLOBE. FROM SEED TO FORK A ROBUST DEEP-LEARNING SYSTEMIC AI POWERED INNOVATION MODELS ENHANCE GLOBAL OPPORTUNITIES RESHAPING FOOD INDUSTRY AND CREATING A RESILIENT STRATEGIC TRANSFORMATION ADDRESSING FOOD SECURITY FOLLOWING CLIMATE CHANGE CHALLENGES."
"ARTIFICIAL INTELLIGENCE AND FOOD FLAVOR: HOW AI MODELS ARE SHAPING THE FUTURE AND REVOLUTIONARY TECHNOLOGIES FOR FLAVOR FOOD DEVELOPMENT","THE FOOD FLAVOR SCIENCE, TRADITIONALLY RELIANT ON EXPERIMENTAL METHODS, IS NOW ENTERING A PROMISING ERA WITH THE HELP OF ARTIFICIAL INTELLIGENCE (AI). BY INTEGRATING EXISTING TECHNOLOGIES WITH AI, RESEARCHERS CAN EXPLORE AND DEVELOP NEW FLAVOR SUBSTANCES IN A DIGITAL ENVIRONMENT, SAVING TIME AND RESOURCES. MORE AND MORE RESEARCH WILL USE AI AND BIG DATA TO ENHANCE PRODUCT FLAVOR, IMPROVE PRODUCT QUALITY, MEET CONSUMER NEEDS, AND DRIVE THE INDUSTRY TOWARD A SMARTER AND MORE SUSTAINABLE FUTURE. IN THIS REVIEW, WE ELABORATE ON THE MECHANISMS OF FLAVOR RECOGNITION AND THEIR POTENTIAL IMPACT ON NUTRITIONAL REGULATION. WITH THE INCREASE OF DATA ACCUMULATION AND THE DEVELOPMENT OF INTERNET INFORMATION TECHNOLOGY, FOOD FLAVOR DATABASES AND FOOD INGREDIENT DATABASES HAVE MADE GREAT PROGRESS. THESE DATABASES PROVIDE DETAILED INFORMATION ON THE NUTRITIONAL CONTENT, FLAVOR MOLECULES, AND CHEMICAL PROPERTIES OF VARIOUS FOOD COMPOUNDS, PROVIDING VALUABLE DATA SUPPORT FOR THE RAPID EVALUATION OF FLAVOR COMPONENTS AND THE CONSTRUCTION OF SCREENING TECHNOLOGY. WITH THE POPULARIZATION OF AI IN VARIOUS FIELDS, THE FIELD OF FOOD FLAVOR HAS ALSO USHERED IN NEW DEVELOPMENT OPPORTUNITIES. THIS REVIEW EXPLORES THE MECHANISMS OF FLAVOR RECOGNITION AND THE ROLE OF AI IN ENHANCING FOOD FLAVOR ANALYSIS THROUGH HIGH-THROUGHPUT OMICS DATA AND SCREENING TECHNOLOGIES. AI ALGORITHMS OFFER A PATHWAY TO SCIENTIFICALLY IMPROVE PRODUCT FORMULATIONS, THEREBY ENHANCING FLAVOR AND CUSTOMIZED MEALS. FURTHERMORE, IT DISCUSSES THE SAFETY CHALLENGES OF INTEGRATING AI INTO THE FOOD FLAVOR INDUSTRY."
"APPLICATION OF CONVOLUTIONAL NEURAL NETWORKS AND RECURRENT NEURAL NETWORKS IN FOOD SAFETY","THIS REVIEW EXPLORES THE APPLICATION OF CONVOLUTIONAL NEURAL NETWORKS (CNNS) AND RECURRENT NEURAL NETWORKS (RNNS) IN FOOD SAFETY DETECTION AND RISK PREDICTION. THIS PAPER HIGHLIGHTS THE ADVANTAGES OF CNNS IN IMAGE PROCESSING AND FEATURE RECOGNITION, AS WELL AS THE POWERFUL CAPABILITIES OF RNNS (ESPECIALLY THEIR VARIANT LSTM) IN TIME SERIES DATA MODELING. THIS PAPER ALSO MAKES A COMPARATIVE ANALYSIS IN MANY ASPECTS: FIRSTLY, THE ADVANTAGES AND DISADVANTAGES OF TRADITIONAL FOOD SAFETY DETECTION AND RISK PREDICTION METHODS ARE COMPARED WITH DEEP LEARNING TECHNOLOGIES SUCH AS CNNS AND RNNS. SECONDLY, THE SIMILARITIES AND DIFFERENCES BETWEEN CNNS AND FULLY CONNECTED NEURAL NETWORKS IN PROCESSING IMAGE DATA ARE ANALYZED. FURTHERMORE, THE ADVANTAGES AND DISADVANTAGES OF RNNS AND TRADITIONAL STATISTICAL MODELING METHODS IN PROCESSING TIME SERIES DATA ARE DISCUSSED. FINALLY, THE APPLICATION DIRECTIONS OF CNNS IN FOOD SAFETY DETECTION AND RNNS IN FOOD SAFETY RISK PREDICTION ARE COMPARED. THIS PAPER ALSO DISCUSSES COMBINING THESE DEEP LEARNING MODELS WITH TECHNOLOGIES SUCH AS THE INTERNET OF THINGS (IOT), BLOCKCHAIN, AND FEDERATED LEARNING TO IMPROVE THE ACCURACY AND EFFICIENCY OF FOOD SAFETY DETECTION AND RISK WARNING. FINALLY, THIS PAPER MENTIONS THE LIMITATIONS OF RNNS AND CNNS IN THE FIELD OF FOOD SAFETY, AS WELL AS THE CHALLENGES IN THE INTERPRETABILITY OF THE MODEL, AND SUGGESTS THE USE OF INTERPRETABLE ARTIFICIAL INTELLIGENCE (XAI) TECHNOLOGY TO IMPROVE THE TRANSPARENCY OF THE MODEL."
"OVERVIEW OF DEEP LEARNING AND NONDESTRUCTIVE DETECTION TECHNOLOGY FOR QUALITY ASSESSMENT OF TOMATOES","TOMATO, AS THE VEGETABLE QUEEN, IS CULTIVATED WORLDWIDE DUE TO ITS RICH NUTRIENT CONTENT AND UNIQUE FLAVOR. NONDESTRUCTIVE TECHNOLOGY PROVIDES EFFICIENT AND NONINVASIVE SOLUTIONS FOR THE QUALITY ASSESSMENT OF TOMATOES. HOWEVER, PROCESSING THE SUBSTANTIAL DATASETS TO ACHIEVE A ROBUST MODEL AND ENHANCE DETECTION PERFORMANCE FOR NONDESTRUCTIVE TECHNOLOGY IS A GREAT CHALLENGE UNTIL DEEP LEARNING IS DEVELOPED. THE AIM OF THIS PAPER IS TO PROVIDE A SYSTEMATICAL OVERVIEW OF THE PRINCIPLES AND APPLICATION FOR THREE CATEGORIES OF NONDESTRUCTIVE DETECTION TECHNIQUES BASED ON MECHANICAL CHARACTERIZATION, ELECTROMAGNETIC CHARACTERIZATION, AS WELL AS ELECTROCHEMICAL SENSORS. TOMATO QUALITY ASSESSMENT IS ANALYZED, AND THE CHARACTERISTICS OF DIFFERENT NONDESTRUCTIVE TECHNIQUES ARE COMPARED. VARIOUS DATA ANALYSIS METHODS BASED ON DEEP LEARNING ARE EXPLORED AND THE APPLICATIONS IN TOMATO ASSESSMENT USING NONDESTRUCTIVE TECHNIQUES WITH DEEP LEARNING ARE ALSO SUMMARIZED. LIMITATIONS AND FUTURE EXPECTATIONS FOR THE QUALITY ASSESSMENT OF THE TOMATO INDUSTRY BY NONDESTRUCTIVE TECHNIQUES ALONG WITH DEEP LEARNING ARE DISCUSSED. THE ONGOING ADVANCEMENTS IN OPTICAL EQUIPMENT AND DEEP LEARNING METHODS LEAD TO A PROMISING OUTLOOK FOR THE APPLICATION IN THE TOMATO INDUSTRY AND AGRICULTURAL ENGINEERING."
"RECENT ADVANCES OF MACHINE LEARNING IN THE GEOGRAPHICAL ORIGIN TRACEABILITY OF FOOD AND AGRO-PRODUCTS: A REVIEW","THE GEOGRAPHICAL ORIGIN TRACEABILITY OF FOOD AND AGRO-PRODUCTS HAS BEEN ATTRACTED WORLDWIDE. ESPECIALLY WITH THE RISE OF MACHINE LEARNING (ML) TECHNOLOGY, IT PROVIDES CUTTING-EDGE SOLUTIONS TO ERSTWHILE INTRACTABLE ISSUES TO IDENTIFY THE ORIGIN OF FOOD AND AGRO-PRODUCTS. BY UTILIZING ADVANCED ALGORITHMS, ML CAN EXTRACT FEATURE INFORMATION OF FOOD AND AGRO-PRODUCTS THAT IS CLOSELY RELATED TO ORIGIN AND, MORE ACCURATELY, IDENTIFY AND TRACE THEIR ORIGINS, WHICH IS OF GREAT SIGNIFICANCE TO THE ENTIRE FOOD AND AGRICULTURE INDUSTRY. THIS PAPER PROVIDES A COMPREHENSIVE OVERVIEW OF THE STATE-OF-THE-ART APPLICATIONS OF ML IN THE GEOGRAPHICAL ORIGIN TRACEABILITY OF FOOD AND AGRO-PRODUCTS. FIRST, COMMONLY USED ML METHODS ARE SUMMARIZED. THE PAPER THEN OUTLINES THE WHOLE PROCESS OF PREPARATION FOR MODELING, MODEL TRAINING AS WELL AS MODEL EVALUATION FOR BUILDING TRACEABILITY MODELS-BASED ML. FINALLY, RECENT APPLICATIONS OF ML COMBINED WITH DIFFERENT TRACEABILITY TECHNIQUES IN THE FIELD OF FOOD AND AGRO-PRODUCTS ARE REVISITED. ALTHOUGH ML HAS MADE MANY ACHIEVEMENTS IN SOLVING THE GEOGRAPHICAL ORIGIN TRACEABILITY PROBLEM OF FOOD AND AGRO-PRODUCTS, IT STILL HAS GREAT DEVELOPMENT POTENTIAL. FOR EXAMPLE, THE APPLICATION OF ML IS YET INSUFFICIENT IN THE GEOGRAPHICAL ORIGIN TRACEABILITY USING DNA OR COMPUTER VISION TECHNIQUES. THE ABILITY OF ML TO PREDICT THE GEOGRAPHICAL ORIGIN OF FOOD AND AGRO-PRODUCTS CAN BE FURTHER IMPROVED, FOR EXAMPLE, BY INCREASING MODEL INTERPRETABILITY, INCORPORATING DATA FUSION STRATEGIES, AND OTHERS."
"APPLICATIONS OF ARTIFICIAL INTELLIGENCE (AI) IN MANAGING FOOD QUALITY AND ENSURING GLOBAL FOOD SECURITY","THE FOOD INDUSTRY USES ARTIFICIAL INTELLIGENCE (AI) TO ENHANCE FOOD QUALITY AND SECURITY WHILE PROPOSING SIGNIFICANT CAPITAL SAVINGS AND RESOURCE OPTIMIZATION. ADDITIONALLY, UNDERSTANDING MACHINE LEARNING (ML) TECHNIQUES IS ESSENTIAL FOR THEIR EFFECTIVENESS. THEREFORE, THE GAP LIES IN EXAMINING HOW INDUSTRIAL AUTOMATION PLAYS A CRUCIAL ROLE IN SUCCESSFULLY IMPLEMENTING THIS NEW TECHNOLOGY. TO ADDRESS THIS GAP, THIS REVIEW EXPLORES AI'S POTENTIAL TO SIGNIFICANTLY ENHANCE FOOD SAFETY BY CREATING A MORE TRANSPARENT SUPPLY CHAIN MANAGEMENT SYSTEM. THEREFORE, THE PRIMARY FOCUS IS EXPLORING POTENTIAL AI APPLICATIONS, SUCH AS ARTIFICIAL NEURAL NETWORKS (ANN) AND CONVOLUTIONAL NEURAL NETWORKS (CNN), FOR DETECTING FOOD AND AGRICULTURAL PRODUCT QUALITY. THE PRIMARY GOAL OF UTILIZING THESE AI APPLICATIONS IS TO REDUCE HUMAN INTERVENTION AND EFFORT. THESE METHODOLOGIES HAVE ADVANTAGES AND DISADVANTAGES REGARDING THEORETICAL KNOWLEDGE AND MODEL INTERPRETATION."
